,id,caption,file
9,661611,Closeup of bins of food that include broccoli and bread.,000000000009.jpg
9,661977,A meal is presented in brightly colored plastic trays.,000000000009.jpg
9,663627,there are containers filled with different kinds of foods,000000000009.jpg
9,666765,"Colorful dishes holding meat, vegetables, fruit, and bread.",000000000009.jpg
9,667602,A bunch of trays that have different food.,000000000009.jpg
25,122312,A giraffe eating food from the top of the tree.,000000000025.jpg
25,127076,A giraffe standing up nearby a tree ,000000000025.jpg
25,127238,A giraffe mother with its baby in the forest.,000000000025.jpg
25,133058,Two giraffes standing in a tree filled area.,000000000025.jpg
25,133676,A giraffe standing next to a forest filled with trees.,000000000025.jpg
30,695774,A flower vase is sitting on a porch stand.,000000000030.jpg
30,696557,White vase with different colored flowers sitting inside of it. ,000000000030.jpg
30,699041,a white vase with many flowers on a stage,000000000030.jpg
30,701216,A white vase filled with different colored flowers.,000000000030.jpg
30,702428,A vase with red and white flowers outside on a sunny day.,000000000030.jpg
34,199400,A zebra grazing on lush green grass in a field.,000000000034.jpg
34,203468,Zebra reaching its head down to ground where grass is. ,000000000034.jpg
34,213134,The zebra is eating grass in the sun.,000000000034.jpg
34,213887,A lone zebra grazing in some green grass.,000000000034.jpg
34,217841,a Zebra grazing on grass in a green open field.,000000000034.jpg
36,552549,Woman in swim suit holding parasol on sunny day.,000000000036.jpg
36,556653,"A woman posing for the camera, holding a pink, open umbrella and wearing a bright, floral, ruched bathing suit, by a life guard stand with lake, green trees, and a blue sky with a few clouds behind.",000000000036.jpg
36,556899,A woman in a floral swimsuit holds a pink umbrella.,000000000036.jpg
36,557547,A woman with an umbrella near the sea,000000000036.jpg
36,559824,A girl in a bathing suit with a pink umbrella.,000000000036.jpg
42,641613,This wire metal rack holds several pairs of shoes and sandals,000000000042.jpg
42,645309,A dog sleeping on a show rack in the shoes.,000000000042.jpg
42,650217,Various slides and other footwear rest in a metal basket outdoors.,000000000042.jpg
42,650868,A small dog is curled up on top of the shoes,000000000042.jpg
42,652383,a shoe rack with some shoes and a dog sleeping on them,000000000042.jpg
49,584400,A couple of men riding horses on top of a green field.,000000000049.jpg
49,584589,two horses and their riders on some grass,000000000049.jpg
49,592140,Two men are on horses that are reared back.,000000000049.jpg
